Section #,Station (m),MPD (mm),Latitude,Longitude
122,1210.0 to 1220.0,0.54,51.9371854374486 N,0.258470155679012 W
123,1220.0 to 1230.0,0.54,51.9371381763602 N,0.258348960421456 W
124,1230.0 to 1240.0,0.58,51.9370924290535 N,0.258224220246914 W
125,1240.0 to 1250.0,0.61,51.9370486925 N,0.258096018611111 W
126,1250.0 to 1260.0,0.72,51.9370076807937 N,0.257966250515873 W
127,1260.0 to 1270.0,1.19,51.9369697804598 N,0.25783461 W
128,1270.0 to 1280.0,1.13,51.9369310059524 N,0.257702316428571 W
129,1280.0 to 1290.0,0.89,51.9368925188095 N,0.257570464325397 W
130,1290.0 to 1300.0,0.67,51.936856058254 N,0.257439267619048 W
131,1300.0 to 1310.0,0.57,51.9368189568254 N,0.25730765047619 W
132,1310.0 to 1320.0,0.46,51.9367820756705 N,0.257176360574713 W
133,1320.0 to 1330.0,0.60,51.9367454253257 N,0.25704638954023 W
134,1330.0 to 1340.0,0.66,51.9367095536398 N,0.25691360394636 W
135,1340.0 to 1350.0,0.68,51.9366741764444 N,0.256780771444444 W
136,1350.0 to 1360.0,0.72,51.9366390231482 N,0.256647236296296 W
137,1360.0 to 1370.0,1.10,51.9366039722222 N,0.256510386666667 W
138,1370.0 to 1380.0,1.41,51.9365682724815 N,0.256375548296296 W
139,1380.0 to 1390.0,1.21,51.9365319877778 N,0.256243781362007 W
140,1390.0 to 1400.0,0.92,51.9364973700538 N,0.256113473960573 W
141,1400.0 to 1410.0,0.58,51.9364608235764 N,0.255982530034722 W
142,1410.0 to 1420.0,0.42,51.9364224536458 N,0.255849681388889 W
143,1420.0 to 1430.0,0.50,51.9363829488889 N,0.255719712986111 W
144,1430.0 to 1440.0,0.64,51.9363417404167 N,0.255590668194444 W
145,1440.0 to 1450.0,0.38,51.9362988092593 N,0.255462153569024 W
146,1450.0 to 1460.0,0.27,51.9362552010457 N,0.25533532372549 W
147,1460.0 to 1470.0,0.30,51.9362108148366 N,0.25520930496732 W
148,1470.0 to 1480.0,0.46,51.9361650750654 N,0.255083793464052 W
149,1480.0 to 1490.0,0.37,51.9361186072064 N,0.254959266126984 W
150,1490.0 to 1500.0,0.33,51.9360713386667 N,0.254834576666667 W
151,1500.0 to 1510.0,0.31,51.9360236199346 N,0.254711005163399 W
152,1510.0 to 1520.0,0.33,51.9359755213072 N,0.254588334575163 W
153,1520.0 to 1530.0,0.33,51.9359254862418 N,0.254465878660131 W
154,1530.0 to 1540.0,0.34,51.9358740934921 N,0.254343955015873 W
155,1540.0 to 1550.0,0.52,51.9358236211111 N,0.254227005079365 W
156,1550.0 to 1560.0,0.44,51.9357720631481 N,0.254111353148148 W
157,1560.0 to 1570.0,0.37,51.935718170463 N,0.253995900462963 W
158,1570.0 to 1580.0,0.44,51.9356631986186 N,0.253881288258258 W
159,1580.0 to 1590.0,0.37,51.9356066038438 N,0.253766804564565 W
160,1590.0 to 1600.0,0.31,51.9355498757958 N,0.253653842342342 W
161,1600.0 to 1610.0,0.31,51.9354927800585 N,0.253541574327485 W
162,1610.0 to 1620.0,0.43,51.9354350474854 N,0.253429825672515 W
163,1620.0 to 1630.0,0.42,51.9353770205263 N,0.253318714385965 W
164,1630.0 to 1640.0,0.38,51.9353188403704 N,0.253209926666667 W
165,1640.0 to 1650.0,0.44,51.935260317265 N,0.253102348632479 W
166,1650.0 to 1660.0,0.50,51.9352007757265 N,0.252993987635328 W
167,1660.0 to 1670.0,0.54,51.9351409080342 N,0.252885547150997 W
168,1670.0 to 1680.0,0.66,51.9350803855556 N,0.25277789031339 W
169,1680.0 to 1690.0,0.90,51.9350195753561 N,0.252670502649573 W
